iter	Passed	Remaining
0	1	1598
1	3	1627
2	4	1596
3	6	1543
4	8	1595
5	9	1570
6	11	1569
7	12	1550
8	13	1530
9	15	1508
10	16	1503
11	18	1499
12	19	1509
13	21	1499
14	22	1480
15	24	1483
16	25	1501
17	27	1504
18	28	1485
19	29	1463
20	31	1457
21	32	1441
22	33	1435
23	35	1424
24	36	1411
25	37	1398
26	38	1390
27	40	1394
28	41	1382
29	42	1375
30	44	1376
31	45	1370
32	46	1362
33	47	1359
34	49	1354
35	50	1350
36	51	1342
37	53	1342
38	54	1340
39	55	1334
40	56	1330
41	58	1330
42	59	1327
43	60	1324
44	62	1325
45	63	1318
46	64	1317
47	66	1313
48	67	1312
49	68	1308
50	70	1305
51	71	1302
52	72	1303
53	74	1302
54	75	1303
55	77	1302
56	78	1298
57	79	1298
58	81	1296
59	82	1294
60	83	1289
61	84	1285
62	86	1285
63	87	1280
64	88	1279
65	90	1277
66	91	1277
67	93	1280
68	94	1277
69	96	1277
70	97	1275
71	98	1271
72	99	1269
73	101	1269
74	102	1265
75	103	1264
76	105	1265
77	106	1263
78	108	1261
79	109	1259
80	110	1257
81	112	1254
82	113	1254
83	114	1252
84	116	1250
85	117	1249
86	118	1247
87	120	1248
88	121	1247
89	123	1247
90	124	1244
91	126	1244
92	127	1241
93	128	1241
94	130	1241
95	131	1239
96	133	1239
97	134	1237
98	136	1237
99	137	1237
100	138	1235
101	140	1235
102	141	1232
103	142	1228
104	143	1226
105	145	1224
106	146	1223
107	147	1221
108	149	1221
109	150	1218
110	151	1216
111	153	1213
112	154	1213
113	155	1212
114	157	1212
115	159	1212
116	160	1211
117	161	1210
118	163	1209
119	165	1210
120	166	1209
121	168	1210
122	170	1217
123	172	1216
124	173	1216
125	175	1215
126	176	1214
127	178	1212
128	179	1212
129	181	1211
130	182	1211
131	184	1210
132	185	1210
133	187	1209
134	188	1209
135	190	1209
136	191	1208
137	193	1207
138	195	1208
139	196	1207
140	198	1206
141	199	1206
142	201	1205
143	203	1207
144	204	1208
145	207	1211
146	208	1210
147	210	1209
148	211	1208
149	213	1208
150	215	1211
151	217	1210
152	219	1212
153	220	1213
154	222	1214
155	224	1214
156	225	1213
157	227	1212
158	229	1212
159	230	1212
160	232	1211
161	234	1211
162	235	1211
163	237	1211
164	239	1211
165	241	1210
166	242	1210
167	244	1208
168	245	1208
169	247	1206
170	248	1205
171	250	1205
172	252	1206
173	254	1205
174	255	1204
175	257	1203
176	258	1204
177	260	1203
178	262	1201
179	263	1201
180	264	1199
181	266	1198
182	268	1198
183	270	1197
184	271	1197
185	273	1197
186	275	1196
187	276	1195
188	278	1194
189	279	1192
190	281	1190
191	282	1189
192	284	1188
193	285	1187
194	287	1186
195	289	1185
196	290	1185
197	292	1184
198	294	1183
199	295	1181
200	296	1180
201	298	1178
202	300	1177
203	301	1178
204	303	1177
205	304	1174
206	306	1173
207	307	1172
208	309	1169
209	310	1168
210	312	1168
211	314	1167
212	315	1167
213	317	1167
214	319	1167
215	321	1167
216	323	1166
217	324	1165
218	326	1164
219	328	1163
220	330	1163
221	331	1162
222	333	1162
223	335	1162
224	337	1161
225	339	1161
226	340	1160
227	342	1159
228	344	1158
229	345	1157
230	347	1157
231	349	1156
232	351	1155
233	352	1155
234	354	1154
235	356	1154
236	358	1152
237	359	1151
238	361	1150
239	363	1150
240	365	1149
241	366	1148
242	368	1147
243	370	1147
244	372	1146
245	373	1145
246	375	1144
247	377	1144
248	378	1142
249	380	1142
250	382	1141
251	384	1139
252	385	1138
253	387	1137
254	388	1135
255	390	1135
256	392	1134
257	394	1134
258	396	1133
259	397	1132
260	399	1131
261	401	1129
262	402	1128
263	404	1127
264	406	1126
265	408	1126
266	410	1125
267	411	1124
268	413	1124
269	415	1123
270	417	1122
271	418	1121
272	420	1119
273	422	1118
274	423	1117
275	425	1115
276	427	1114
277	429	1114
278	430	1113
279	432	1112
280	434	1111
281	436	1110
282	438	1109
283	439	1108
284	441	1107
285	443	1106
286	444	1105
287	446	1104
288	448	1103
289	450	1102
290	452	1102
291	454	1101
292	456	1100
293	457	1099
294	459	1097
295	461	1096
296	462	1095
297	464	1094
298	466	1092
299	468	1093
300	469	1091
301	471	1089
302	473	1088
303	474	1087
304	476	1085
305	478	1084
306	480	1083
307	481	1082
308	483	1081
309	485	1079
310	487	1079
311	488	1077
312	490	1076
313	492	1074
314	493	1073
315	495	1072
316	497	1071
317	499	1070
318	501	1069
319	502	1068
320	504	1066
321	505	1065
322	507	1064
323	509	1062
324	510	1060
325	512	1059
326	514	1058
327	516	1057
328	517	1056
329	519	1054
330	521	1053
331	523	1052
332	524	1051
333	526	1049
334	528	1048
335	530	1047
336	532	1046
337	533	1045
338	535	1044
339	537	1043
340	539	1042
341	541	1041
342	542	1039
343	544	1038
344	546	1037
345	547	1035
346	549	1034
347	551	1032
348	552	1031
349	554	1030
350	556	1029
351	558	1028
352	560	1027
353	561	1025
354	563	1023
355	565	1022
356	566	1021
357	568	1019
358	570	1017
359	571	1016
360	573	1015
361	575	1013
362	577	1012
363	579	1011
364	580	1010
365	582	1009
366	584	1007
367	585	1006
368	587	1004
369	589	1003
370	590	1001
371	593	1001
372	594	1000
373	596	998
374	598	997
375	600	995
376	601	994
377	603	993
378	605	992
379	607	991
380	609	990
381	611	988
382	612	987
383	614	985
384	616	984
385	618	983
386	620	982
387	621	980
388	623	979
389	625	978
390	627	977
391	629	976
392	631	974
393	632	973
394	634	972
395	636	970
396	637	968
397	639	967
398	641	966
399	643	965
400	645	963
401	646	962
402	648	960
403	650	959
404	652	957
405	653	956
406	655	954
407	656	953
408	658	951
409	661	951
410	662	949
411	664	948
412	666	946
413	667	945
414	669	944
415	671	942
416	673	941
417	675	940
418	676	938
419	678	937
420	680	935
421	681	934
422	683	932
423	685	931
424	687	930
425	689	928
426	691	927
427	692	925
428	694	924
429	696	922
430	697	921
431	699	919
432	701	918
433	703	917
434	704	915
435	706	914
436	708	912
437	710	911
438	711	909
439	713	908
440	715	906
441	716	904
442	718	903
443	720	901
444	721	900
445	723	898
446	725	897
447	727	896
448	729	895
449	731	894
450	733	892
451	734	891
452	736	889
453	738	888
454	740	887
455	742	886
456	745	885
457	746	883
458	748	882
459	750	880
460	752	879
461	753	877
462	755	876
463	757	875
464	759	873
465	761	872
466	763	871
467	764	869
468	766	868
469	768	866
470	770	864
471	772	863
