iter	Passed	Remaining
0	61	61335
1	62	31314
2	64	21318
3	65	16323
4	67	13353
5	68	11410
6	70	9967
7	71	8914
8	73	8088
9	74	7407
10	76	6851
11	77	6399
12	79	5999
13	80	5672
14	81	5371
15	83	5113
16	84	4893
17	86	4724
18	88	4578
19	90	4428
20	91	4284
21	93	4155
22	94	4033
23	96	3936
24	98	3836
25	100	3750
26	101	3672
27	103	3586
28	105	3515
29	106	3444
30	107	3371
31	109	3306
32	110	3245
33	112	3195
34	114	3149
35	115	3098
36	117	3051
37	118	3004
38	120	2962
39	121	2924
40	123	2894
41	125	2863
42	127	2833
43	129	2804
44	131	2784
45	132	2753
46	134	2726
47	135	2694
48	137	2662
49	138	2635
50	140	2612
51	142	2589
52	143	2569
53	145	2548
54	147	2535
55	149	2522
56	151	2500
57	152	2480
58	154	2462
59	155	2442
60	157	2423
61	158	2403
62	160	2384
63	162	2375
64	164	2364
65	165	2347
66	168	2342
67	169	2328
68	171	2314
69	173	2300
70	174	2288
71	176	2276
72	178	2272
73	180	2258
74	182	2246
75	183	2233
76	185	2223
77	187	2214
78	189	2204
79	190	2194
80	192	2185
81	194	2179
82	196	2172
83	198	2163
84	199	2152
85	201	2143
86	203	2134
87	204	2124
88	206	2112
89	207	2101
90	209	2094
91	211	2083
92	212	2076
93	214	2066
94	216	2058
95	217	2049
96	219	2040
97	220	2033
98	223	2035
99	225	2026
100	227	2024
101	229	2021
102	231	2017
103	233	2010
104	235	2004
105	237	2000
106	239	1998
107	241	1996
108	244	2000
109	246	1995
110	248	1993
111	250	1987
112	252	1980
113	254	1977
114	256	1974
115	259	1976
116	261	1976
117	264	1976
118	266	1972
119	268	1966
120	270	1961
121	271	1953
122	273	1951
123	276	1950
124	278	1948
125	280	1942
126	282	1938
127	283	1931
128	285	1925
129	286	1917
130	288	1911
131	290	1907
132	291	1902
133	293	1898
134	295	1893
135	297	1887
136	298	1881
137	300	1874
138	301	1867
139	303	1862
140	304	1857
141	306	1853
142	308	1848
143	310	1843
144	311	1838
145	313	1833
146	315	1828
147	316	1823
148	318	1819
149	319	1812
150	321	1808
151	323	1804
152	325	1801
153	327	1797
154	328	1792
155	330	1789
156	332	1783
157	333	1777
158	335	1773
159	337	1771
160	339	1768
161	341	1764
162	342	1759
163	344	1755
164	345	1749
165	347	1747
166	349	1744
167	351	1741
168	353	1739
169	355	1737
170	357	1732
171	359	1729
172	360	1725
173	362	1721
174	364	1717
175	366	1713
176	368	1713
177	370	1709
178	372	1706
179	373	1702
180	375	1698
181	377	1695
182	378	1691
183	380	1687
184	381	1682
185	383	1678
186	385	1676
187	387	1673
188	389	1670
189	390	1666
190	392	1661
191	394	1658
192	395	1654
193	397	1650
194	398	1646
195	400	1644
196	402	1640
197	404	1638
198	406	1635
199	408	1633
200	409	1628
201	411	1625
202	413	1622
203	415	1620
204	417	1619
205	419	1616
206	421	1615
207	423	1612
208	424	1608
209	426	1605
210	428	1600
211	429	1597
212	431	1593
213	432	1590
214	434	1587
215	436	1585
216	438	1583
217	440	1579
218	442	1577
219	444	1575
220	445	1571
221	447	1568
222	449	1566
223	451	1562
224	453	1561
225	454	1557
226	456	1555
227	458	1551
228	460	1549
229	462	1546
230	463	1543
231	465	1541
232	467	1539
233	469	1536
234	470	1533
235	472	1529
236	474	1526
237	475	1523
238	477	1519
239	478	1516
240	480	1513
241	482	1511
242	484	1508
243	486	1506
244	487	1502
245	489	1499
246	490	1496
247	492	1492
248	493	1488
249	495	1486
250	497	1483
251	498	1480
252	500	1478
253	502	1475
254	504	1472
255	505	1468
256	507	1466
257	508	1463
258	510	1460
259	512	1457
260	513	1455
261	515	1452
262	517	1449
263	519	1447
264	520	1444
265	522	1441
266	524	1439
267	525	1436
268	527	1432
269	528	1429
270	530	1427
271	532	1425
272	534	1422
273	535	1420
274	537	1416
275	539	1414
276	540	1411
277	542	1408
278	543	1405
279	545	1401
280	547	1399
281	549	1398
282	550	1395
283	552	1393
284	554	1390
285	555	1387
286	557	1384
287	558	1381
288	560	1379
289	562	1377
290	564	1375
291	566	1373
292	568	1371
293	569	1368
294	570	1364
295	572	1361
296	574	1359
297	576	1358
298	578	1356
299	580	1353
300	581	1351
301	583	1348
302	585	1346
303	586	1342
304	588	1340
305	589	1337
306	591	1334
307	592	1331
308	594	1328
309	596	1326
310	597	1324
311	599	1322
312	601	1320
313	602	1317
314	604	1314
315	605	1311
316	608	1310
317	610	1308
318	611	1305
319	613	1303
320	614	1300
321	616	1298
322	618	1295
323	619	1293
324	621	1290
325	623	1288
326	625	1287
327	627	1285
328	629	1283
329	630	1280
330	631	1277
331	633	1274
332	635	1272
333	638	1272
334	639	1269
335	641	1267
336	643	1265
337	645	1264
338	647	1261
339	648	1259
340	650	1256
341	652	1254
342	653	1252
343	655	1250
344	657	1248
345	659	1246
346	661	1244
347	662	1241
348	664	1239
349	665	1236
350	667	1234
351	668	1231
352	670	1228
353	672	1226
354	673	1223
355	675	1221
356	677	1220
357	679	1218
358	681	1216
359	683	1215
360	684	1212
361	686	1209
362	688	1207
363	690	1205
364	691	1203
365	693	1200
366	695	1199
367	696	1196
368	698	1194
369	700	1192
370	702	1190
371	703	1187
372	705	1185
373	707	1183
374	709	1181
375	710	1179
376	712	1177
377	714	1175
378	715	1172
379	717	1170
380	719	1168
381	720	1165
382	723	1165
383	725	1163
384	727	1161
385	728	1159
386	731	1158
387	732	1156
388	734	1153
389	735	1150
390	737	1148
391	738	1146
392	740	1144
393	742	1142
394	744	1140
395	746	1138
396	748	1136
397	750	1135
398	751	1132
399	753	1130
400	755	1127
401	756	1126
402	758	1123
403	760	1121
404	762	1119
405	763	1117
406	765	1114
407	767	1112
408	768	1110
409	770	1108
410	772	1106
411	774	1105
412	776	1103
413	777	1100
414	779	1099
415	782	1097
416	783	1095
417	785	1094
418	788	1092
419	789	1090
420	791	1089
421	793	1087
422	795	1084
423	797	1083
424	798	1080
425	800	1078
426	802	1077
427	805	1076
428	806	1073
429	808	1071
430	810	1070
431	812	1067
432	813	1065
433	815	1063
434	817	1061
435	819	1059
436	821	1057
437	823	1056
438	825	1054
439	828	1054
440	829	1051
441	830	1048
442	832	1047
443	835	1046
444	838	1045
445	839	1043
446	842	1042
447	844	1040
448	846	1038
449	848	1037
450	852	1037
451	854	1035
452	856	1034
453	859	1033
454	860	1031
455	863	1029
456	865	1028
457	868	1027
458	869	1024
459	871	1022
460	873	1020
461	875	1019
462	876	1016
463	878	1014
464	880	1012
